ITS1,ITS2,X18S
Sphaerobolus,Ramichloridium,
Sphaeropsis,Ramularia,
Sphaerostilbella,Resinicium,
Sporidesmiella,Retiarius,
Sporidesmium,Rhinocladiella,
Sporobolomyces,Rhizophlyctis,
Stagonosporopsis,Rhodocybe,
Steccherinum,Rhodosporidiobolus,
Stereum,Rhodotorula,
Stropharia,Rhodoveronaea,
Suillus,Ruinenia,
Symmetrospora,Russula,
Talaromyces,Saccharomyces,
Taphrina,Sagenomella,
Tapinella,Saitozyma,
Teichospora,Sarea,
Terfezia,Sarocladium,
Thelocarpon,Sawadaea,
Thyronectria,Schizophyllum,
Tilletia,Schizopora,
Tilletiopsis,Schwanniomyces,
Tolypocladium,Scleroconidioma,
Tomentella,Scleroderma,
Tomentellopsis,Scleropezicula,
Torula,Sclerostagonospora,
Toxicocladosporium,Scoliciosporum,
Trametes,Scopuloides,
Trechispora,Septobasidium,
Tremella,Septonema,
Trichaptum,Septoriella,
Trichoderma,Setomelanomma,
Trichomerium,Simplicillium,
Trichophaea,Sirotrema,
Trichothecium,Sistotrema,
Tricladium,Sistotremastrum,
Tritirachium,Skeletocutis,
Tubaria,Slooffia,
Udeniomyces,Solicoccozyma,
Umbelopsis,Sonoraphlyctis,
Urocystis,Sorocybe,
Ustilago,Sphaerobolus,
Vararia,Sphaeropsis,
Veronaea,Sphaerostilbella,
Verrucocladosporium,Sporobolomyces,
Verticillium,Sporormiella,
Vishniacozyma,Stagonospora,
Volutella,Steccherinum,
Vuilleminia,Stemphylium,
Waitea,Stereum,
Wallemia,Stropharia,
Xenasmatella,Suillus,
Xenopolyscytalum,Symmetrospora,
Xerocomellus,Sympodiella,
Xeromphalina,Syncephalis,
Yamadamyces,Taeniospora,
Yamadazyma,Talaromyces,
Yurkovia,Taphrina,
Zymoseptoria,Tapinella,
,Terfezia,
,Thelebolus,
,Thermomyces,
,Thyridium,
,Tilletia,
,Tilletiopsis,
,Tomentella,
,Tomentellopsis,
,Torula,
,Toxicocladosporium,
,Trametes,
,Trechispora,
,Tremella,
,Trichaptum,
,Trichoderma,
,Trichomerium,
,Trichophaea,
,Tricladium,
,Tritirachium,
,Tubaria,
,Tulasnella,
,Tympanis,
,Udeniomyces,
,Umbelopsis,
,Ustilago,
,Venturia,
,Veronaea,
,Veronaeopsis,
,Verrucocladosporium,
,Verticillium,
,Vishniacozyma,
,Vonarxula,
,Vuilleminia,
,Waitea,
,Xenasmatella,
,Xenochalara,
,Xenopolyscytalum,
,Xylodon,
,Yamadamyces,
,Yamadazyma,
,Yarrowia,
,Yurkovia,
,Zymoseptoria,
